n_items,n_distinct_skus,total_weight_kg,max_fragility,avg_fragility,n_fragile_items,n_temperature_sensitive_items,avg_historical_damage_rate,distance_km,warehouse_load_ratio,is_peak_hour,picker_experience_years,picker_avg_quality_score,picker_avg_picking_speed,rider_experience_years,rider_avg_rating,hour_of_day,had_quality_issue
14,11,4.33,71.02931869478556,32.98649252914138,3,2,0.005,5.58,0.7420814937744502,1,1.095775962553572,65.24335486275308,7.248198052490424,1.6674097463332014,4.267988519288635,9,1
11,7,7.8,24.917576526213082,14.617550951032044,1,1,0.016842293238341605,8.95,1.1621941312672408,1,0.2514976378132534,91.55574193403659,5.4500311061647935,1.4300871206023515,4.065613498558385,21,0
11,4,9.85,75.32767689595512,68.89847314048399,5,2,0.09069284606740637,6.91,0.7049062063499918,1,2.6439610655869217,91.42472667893661,7.821904281285421,0.7277012363174831,4.571049482195904,18,0
6,2,1.59,40.69886142506564,38.00705098197462,1,0,0.11499392073366446,11.41,0.8224540728629203,0,1.5798374255031882,93.43511821423965,8.478882525179795,4.320163482247352,4.49829059827351,22,0
3,1,1.63,60.997105312234055,32.13631587567185,0,0,0.10050798798581702,8.12,1.2587762951145707,1,5.145635644146098,76.41557129908938,6.195358485229087,3.1535856591764753,3.736531001344646,8,0
14,6,12.84,75.57665065503083,69.09235983381708,6,1,0.013128104904784207,12.12,0.06603253716562019,0,1.3341444851445163,83.72456953585352,7.773542955079396,2.4391967804811387,4.679184022351388,22,0
22,16,7.86,61.30838309534198,23.781126105682507,3,3,0.005,2.57,1.2983901582881643,0,3.733307960776548,74.70390013263145,6.302238304462185,1.8944269493937511,3.6634140471941166,7,0
2,1,1.1,51.91762723182784,27.983608170750234,0,0,0.07950108563880909,5.19,0.05,0,2.8368719716291855,71.27606032170446,6.585881043226227,1.1036009286791453,5.0,7,0
21,10,18.69,62.08872978762292,29.92330313573318,4,1,0.005,5.99,0.41089029192276894,0,0.05,70.75157787590456,7.317796792195416,1.9250033976367587,3.832008716213085,22,0
20,13,19.51,23.423414746019848,6.0354782238794975,0,0,0.13666554954713372,2.58,0.5043009622362531,0,3.02955032783595,84.00642861089366,7.071552199618558,0.5499163987020217,4.517977549588565,4,0
7,3,5.03,71.34001259424895,41.94617803937086,2,0,0.015119882899479228,1.97,0.12835138198526475,1,1.0374301593375945,90.35954379175917,6.9302038450532315,4.055498269988277,4.616946719850198,19,0
16,8,18.51,35.974460872654475,18.22841561707408,2,1,0.21405134271679682,7.53,0.6422985503925175,1,5.9246507706773635,94.86355689733631,3.849672785298354,0.679352669449405,4.785282201670653,19,0
4,3,4.5,43.99467420171629,22.4441218891553,0,0,0.022280499095086066,8.66,0.6820879887781903,0,0.8177491980124751,81.50454838215123,4.276958556570973,0.12386952760563918,3.825819390935398,22,0
19,12,12.8,50.44568877392586,19.50241945316339,2,6,0.107777216407644,6.45,0.9590128942599723,1,0.604655638710649,75.17816016901283,3.387789690507261,6.4619383080474595,4.608903928048413,20,1
17,14,6.12,31.61059774901251,22.08445552731324,2,5,0.03580354761775663,10.24,0.9477386299800858,1,0.05,81.03330187507717,3.977962462635678,1.7859268030866755,3.972058494065142,19,1
9,4,8.76,51.92426231611968,16.54388179165208,1,2,0.06990956832498244,1.59,0.7607438217422705,1,0.8558398629927435,91.71265666699443,7.3281818705652935,0.700566948170589,4.500247109190727,8,0
2,1,0.89,69.0906650664239,40.43871190763937,0,0,0.09103841303811466,4.44,1.091445850624346,0,3.243436214696639,98.22426979445217,5.864561195856898,3.1490819318306613,3.625319168123416,13,0
24,15,25.03,61.43855734915271,31.576951965314283,5,2,0.13161754718356378,1.28,0.9257224119284007,0,0.4309747283168619,93.771661469291,5.362744879088076,0.05,4.609593764171651,13,0
11,7,8.66,45.58269930867852,36.05617904057855,2,3,0.14117091680653027,6.56,0.5862742549568651,0,2.9051823656492655,92.78819509905395,9.744663859599745,0.9589445746593717,4.9229847524587065,7,0
22,19,13.07,90.3884330159902,86.7833376821709,13,4,0.12363914984390678,7.95,0.741676536269487,1,2.494400333770354,95.61497534040384,8.664382827795691,3.203098487345999,4.286451619846692,9,1
17,7,12.86,34.491912066045785,31.577654015817657,3,0,0.14225786929412754,11.37,0.47750161850748163,1,0.5206071597967126,82.73596907685122,3.638095953274898,5.215801565301924,4.437005510436275,20,0
19,15,13.92,74.18951008246694,48.308847689200064,6,6,0.04303316056276605,1.29,0.2710801396123805,0,1.8912099448607722,84.81788361026926,4.937589886633847,3.536476819210556,4.647183806757425,0,0
19,15,21.37,56.81258648269936,50.812491185391536,6,3,0.1189277546503227,7.49,0.8497699199819341,0,0.5751309814714263,92.60103829136223,4.792634603018455,3.0901045535258658,4.535957547917816,1,0
5,3,2.07,73.58481227976813,33.617154263985974,1,0,0.05954635416018017,11.74,0.17538958277103556,1,3.455923952684877,87.1497700061222,6.612265425151551,4.0923424112513835,3.760417031081004,9,0
9,5,10.15,79.46548733561411,41.02358089399084,2,2,0.1391736522932091,1.99,0.6343930239151581,1,0.05,90.67067297494363,4.175260961072754,1.5725500824778291,3.911795187778933,18,0
12,7,2.78,36.62243046380104,35.455360185773365,3,0,0.08693445148453097,1.06,0.05,1,3.261037838372462,75.92218611709932,5.274017601714699,0.05,4.238246715010974,21,0
12,6,11.63,68.45858824322337,39.45628470565252,3,0,0.11721574991763037,0.5,0.7248426628627412,0,0.9265609129059229,95.98596304743748,7.251686560585443,0.9503312623817084,4.445693099017811,16,0
2,1,2.24,32.527512782970305,22.096630634340983,0,0,0.0974885349258348,8.5,0.4455578993709298,1,2.268102663690622,77.01006789264747,6.259382915444214,4.0617914087761395,4.210384367733168,20,0
14,9,8.32,37.7633425856651,24.127351189243875,2,2,0.12562269444420213,3.1,0.898869622152278,0,2.826970573041784,93.12236458874752,4.1418320221320055,0.21984866329910746,4.43883083394389,3,0
4,3,1.09,44.98470705383626,35.37228957222768,1,0,0.031540867413099735,7.91,0.6221349821357549,0,2.3073890518456732,81.10457225422273,6.682857931197949,1.7896256060698645,4.803636859560096,2,0
18,12,18.08,33.22182492435514,0.0,0,0,0.005,5.14,0.6553452478576309,0,5.380411804348579,76.665399244203,6.73301260696528,2.069378978028679,4.255486437909955,12,0
17,11,17.73,100.0,67.91360137483714,8,2,0.13933806842903232,13.2,0.7182659433550835,0,1.4131993267235639,62.06441405580925,6.886443000132182,2.6371628815518813,3.9587516488323855,7,1
23,17,12.33,84.15493866619046,82.53887639598085,13,1,0.16069966034367766,9.15,0.4859906214525064,1,0.05,79.82168010884355,3.966281996064459,2.9102132479859986,4.599309194031364,21,1
18,11,12.93,49.54923024542579,38.74770571834372,4,3,0.07304612447822864,2.78,0.5017057865129624,0,5.558142063514019,69.52781752595132,8.265662298186914,2.981477634011509,4.890425753719996,1,0
9,7,9.09,67.5882603922455,49.64032189952211,3,1,0.1286660490103671,4.79,0.5018585677503977,1,2.675871972080882,72.77228823820782,5.604805456988923,6.4447793742433515,4.514740560141915,8,0
24,11,9.41,79.65615000447127,58.78326874111092,10,0,0.005,9.15,0.6561908433946074,0,2.3283632487633596,87.09218837656576,4.427668770353891,3.1548287238966446,4.213171153456695,7,1
10,8,8.29,9.363140855016749,5.857265729278083,0,0,0.04270761646567513,1.73,0.5050665021746568,0,5.671260983810779,66.81902741745286,6.626170438070682,4.174214655730682,4.3300371892276095,14,0
8,6,5.05,88.62324251528847,55.42211479625732,3,0,0.0849172784574811,10.73,0.8576609142565472,0,0.05,94.30449581676478,7.692583372708324,2.0939842072433277,4.20773810134301,7,0
22,18,8.24,62.977520504649895,25.618324522447047,4,3,0.005,5.0,0.08058844633713891,0,1.9564164562593978,100.0,7.573321742562584,5.004404548210481,4.515797366721504,22,0
9,5,9.28,100.0,85.39593305597057,5,2,0.005,9.24,0.17529885014216995,0,0.35458136446257393,77.1686016678678,8.816834733754371,0.8394717985526403,3.556705568572577,1,1
2,1,1.05,65.14765265066924,30.858289460028715,0,0,0.08947710478444941,5.22,1.3610034213699675,0,1.9181537658783454,94.04519262157731,5.356914555956314,3.5371667098458404,4.4383779279167195,1,0
12,6,13.61,82.03420451231912,54.98000890977653,4,0,0.043659105281743174,3.9,0.5480498964475983,1,0.05,68.02989460457931,3.584950524959425,1.8520962408761594,4.329897046674374,21,1
20,15,15.38,54.74465997529933,31.07491553207707,4,0,0.05919945434217741,3.25,0.3448550861793348,0,2.240482006814039,86.00089013522023,5.910234833848814,3.4918930311969176,4.7600326093547,12,0
5,2,3.57,100.0,83.32724063926983,2,1,0.05562185565294236,12.93,0.6910764534135856,1,2.125215952113078,85.55039720641899,1.5,2.83538333007525,3.832140634215608,20,1
12,6,7.48,42.64947990884518,23.728295225144084,2,1,0.005,4.82,0.9684843279813914,0,2.043980118638608,100.0,4.999447712013444,3.9375434430079457,3.9402865894469854,11,0
4,2,2.4,82.5405959604401,60.63195332120256,1,0,0.06694862968838756,18.32,0.9243571416380587,0,0.05,78.27810168664669,5.897288305359053,2.769105121124131,4.5412392171440885,22,0
17,9,17.31,59.77354779831928,48.78691341394282,5,4,0.07917777055695072,6.61,0.4381304148558499,0,3.3302161004493542,86.62216902776889,5.6118981378388195,1.9384812280529626,4.920889762994125,11,0
12,7,10.53,72.38220954545561,43.89481915661153,3,0,0.04503737876840507,2.6,0.5205649627314899,0,1.7339411887892977,80.15476620443792,7.4172413496148755,3.522678133815092,4.342304728301884,17,0
8,6,7.79,46.4006508929081,40.038162822985,2,1,0.04991147819180787,0.5,0.5831927929503392,0,6.309376892103401,78.2852276285053,6.461678272470927,0.7778719340891185,4.307389476428914,23,0
6,3,3.73,30.052187199887406,20.325724610669013,0,2,0.06776160360993061,10.93,0.8089831309130726,1,1.3534406865391753,80.6184215908945,7.305533387885579,0.05,4.0869136046246775,18,0
14,10,6.46,19.196838168538576,0.0,0,1,0.1291856725051829,5.23,0.7159175161122406,0,1.0898712651614606,80.11330194423705,7.005913038629384,0.05,4.415481463428941,6,0
17,7,4.88,74.0491258196769,58.63662638615553,7,3,0.07433227585295343,9.29,0.3790460264573063,1,2.3668155557328183,75.66715861373793,3.8280278346600474,4.739749285087924,4.014087859528422,18,0
23,18,22.46,33.82867305885111,24.245539572425745,3,4,0.005,15.29,0.5216688886338642,1,0.1354274534372637,84.67867159489761,7.58264919705978,2.4000531721252383,3.868985429612793,9,1
11,8,6.77,68.40674502207017,60.73120316100465,4,1,0.008368588585321121,8.68,0.6071445439351929,0,4.071579899090173,73.0427756215316,5.528550548342203,2.732565089849868,4.616300453063629,16,0
4,2,2.84,77.17323796648924,42.737350894144626,1,1,0.1359088383486855,7.35,1.2187155931463756,0,0.6175506461634892,78.00588934522675,6.887310601306815,1.4845071876054319,4.051512581665647,15,0
20,15,13.39,85.04000507801598,61.40564918244265,8,0,0.03886369874091496,10.91,0.6379238018730384,0,0.79040338382387,100.0,7.331143045217548,2.4924902631751693,4.66684953068742,4,1
16,13,10.1,67.73734180289041,52.64163544240842,6,1,0.0746907977152842,9.22,1.858048056948493,0,3.4631237468719513,80.84106615243445,5.0683621371662975,0.9541190178809591,4.374753092013852,6,1
17,13,15.03,33.831218037983916,0.0,0,3,0.19549346251726796,0.95,0.6057740832474596,0,2.53895364689057,90.86631605744589,5.25614635844504,1.9821498587189146,4.791013329127425,4,0
3,1,2.43,81.53412302591724,48.527703557455936,1,0,0.11790894913509034,11.33,0.11089888804125592,0,2.508365914460509,81.23837656481402,6.560772070363223,0.05,3.966412402819598,1,1
8,5,9.38,31.874621592634433,27.43913931648135,1,0,0.005,5.82,0.8229260823794975,0,0.05,89.68367016404396,5.633280156581276,0.05,4.718500523511297,12,0
19,15,6.44,83.32167117642908,60.63024611989988,8,3,0.16669447115795685,12.17,1.0665196091851779,0,3.7541022966836315,80.25234124447722,9.59568947090526,0.050893464167905966,4.403306493592071,4,1
20,10,15.47,60.2310815623061,48.006564893009596,6,0,0.08897880318869841,8.03,0.8662824730406484,0,0.549962852578656,56.144057856202565,6.518251853098555,0.7362106532644341,3.8084705787607436,16,1
11,8,2.9,69.8987138228814,48.265318835243356,3,2,0.10215801900830151,10.77,0.7688389897254939,0,0.05,81.6907531475362,4.407785549326476,4.065232494692709,4.112130240548272,5,0
20,11,20.16,57.730611180167436,29.010658494418493,4,2,0.09825020795732947,5.1,0.5671087093720795,0,2.7914845323170807,71.98475570917438,10.252644208639648,5.812318090369939,4.123991450685135,0,0
21,16,17.14,15.262967372223265,14.922663773628589,2,3,0.13480137871129094,0.5,0.6002339420417444,0,1.8561918787462968,78.99891530862413,7.1322205513575625,3.7297702118455174,4.557194395245571,3,0
10,4,6.28,46.01918732567623,25.47648690264844,1,3,0.07521551379976275,8.25,0.05,0,1.817309183121761,88.8828777637294,6.4330515002442255,0.05,4.018220204573267,13,0
22,9,22.05,11.669293602389818,0.0,0,5,0.005,9.91,1.000668350644748,0,3.270627910922438,100.0,9.23215716061279,4.664306835280804,3.906676213887037,3,0
7,6,4.59,43.372873846299655,22.0124378399738,1,0,0.09941155405685911,3.77,0.5672961810980218,1,1.688471111001569,67.91616868879584,7.054643334211521,1.4339351034785746,4.238285358201482,21,0
6,5,2.57,7.182185573266058,2.7884998101324925,0,2,0.005,5.19,1.101232484510198,0,0.05,79.61049546810032,6.352928626033741,0.05,4.769181620202339,17,0
17,14,11.43,36.07235904673803,3.369702317328162,0,1,0.18899528706881744,0.5,0.5135865464386854,0,1.6564702184292284,82.17016735274434,3.6213535772419596,4.86552257678763,4.449755990416988,3,0
16,14,4.33,59.30927271901782,37.56253463897661,4,3,0.058271542742577495,5.38,0.6812800390196317,1,2.6605814782663897,82.48890297757724,2.37615802233387,1.4021734242455406,4.2845898960626725,20,0
4,2,4.39,55.19161468655372,46.74907666908713,1,0,0.07689556889115023,1.0,1.1372167030617781,0,2.4851914428190884,82.55493907750605,8.696829042581868,0.565224106155858,4.634208492456567,7,0
20,10,18.62,65.0879325941462,34.300543436145254,4,5,0.03943845516410818,8.07,1.167565721222216,1,1.913460358903117,87.63308212523482,7.038743504142316,1.2004992519904476,4.010559882331175,21,1
5,2,4.8,25.537906191334805,24.02660905855516,0,0,0.10035004176859795,7.34,0.9944281944214749,0,6.057672916476113,77.6226673473164,6.138127430624051,1.5192807778316246,5.0,23,0
20,13,21.49,37.869956015361716,14.157020430743632,2,4,0.10726192901985937,6.06,0.05,0,4.855450443598356,80.0148662206899,6.246075940264059,2.922045351234253,5.0,6,0
1,1,0.99,48.09221923260298,28.02175416797636,0,0,0.03927783471703439,11.29,0.2530368255477797,0,0.2787192801027054,85.94238275515185,7.051806946575678,2.320551090801209,4.210777454985253,7,0
20,17,12.64,18.49689370339243,16.911093092989592,2,3,0.10718382987152578,6.96,0.9453944738422452,0,0.05,75.01186642149386,7.642628922012461,1.0382105054953727,4.433822406174345,3,1
19,7,6.05,43.605942602476595,33.617723673331156,4,6,0.08406357330815804,6.77,0.45555150553070684,0,4.321643592800743,76.08893910816673,5.099998047340154,0.05,4.351730251211847,0,0
19,8,10.89,4.611918605499675,1.5263009702640744,0,1,0.0742478627309691,7.29,0.725813155952513,0,3.9046021787462992,81.3362190164272,6.84726196933601,0.8307731297322305,4.185546114036174,12,0
16,8,18.15,79.72446402069664,50.42898672052601,5,1,0.034907747775376884,3.67,0.7725997941010737,0,4.5672498518590405,76.08925245412695,7.447403623325917,2.3773781306663544,4.761250524362306,16,1
12,5,13.79,50.75615411249314,22.525315314334772,1,2,0.2188632976779682,9.97,0.7896608214958316,0,1.489339356183641,72.22175493221259,5.597658624134837,0.9094200754572466,3.8092290941915152,13,0
17,8,16.45,46.84957052814305,43.277651806211445,5,1,0.15096751193263824,2.33,0.33049192628892665,0,1.943425657100779,71.05152208050099,2.4941331478001274,2.2205486688559897,4.245353372842412,23,1
7,5,2.83,58.88717129023238,54.51888390388622,2,2,0.12370177904712748,7.69,1.057999879252062,0,0.05,81.56406879379067,5.114146679698603,2.012258276959464,4.597520137525423,2,0
19,10,7.49,77.42444794477211,42.213159402482006,5,2,0.14758903581112534,10.87,0.5164420051749448,0,2.430285922969663,95.70292213238075,4.153819606570361,3.7225323731145616,5.0,5,1
14,9,15.12,60.61468709127649,52.58078937115782,5,2,0.0979945060316676,1.89,0.9064518096838398,1,1.1780314511510193,85.92442858356,8.633400207786451,2.4312462253350113,4.937233514967261,21,1
12,10,4.1,12.146442848706904,0.0,0,2,0.0590400680613488,0.63,0.6274881778903996,0,0.9509698339162898,72.47790026874146,4.767892886407215,3.316762988113658,4.117829549966862,5,0
13,9,10.19,51.52835997426385,24.157153398514502,2,4,0.005,1.82,1.372299132194315,1,3.6779888443097555,97.4833117094596,4.70556539177235,1.6695262138790525,4.078262082998372,8,1
14,10,8.1,61.69661557292534,59.26768666935985,5,3,0.006860796778883502,13.27,1.2069758073550476,1,1.9505257308426818,76.98670941512975,5.333099836889815,4.466694795846873,4.22436718898776,10,1
1,1,0.5,84.10931031328818,46.20304984295687,0,0,0.20990152963451392,3.56,1.4460613818393595,0,3.5196901669151908,97.87103042042757,8.003223357759383,1.3221580910132402,4.963880664889213,5,0
4,1,3.51,76.58655212593737,75.66619184213218,2,0,0.14961206509936695,1.2,1.2784779443270047,0,2.027338117258094,81.25845664407439,8.082347031777577,0.7398682091363775,4.553046618869167,12,0
6,3,6.96,100.0,72.49637055927438,3,1,0.09213912016497883,7.47,0.6529964664778678,1,3.077066802103314,84.66125613911558,5.050785984847245,4.012150489856644,5.0,19,0
3,2,2.93,56.027269220232185,41.59102695791401,0,0,0.005,0.5,0.5131192055811875,1,0.09997288468217569,78.3436207990492,5.688738386360434,1.060389020353295,4.643682219153495,19,0
11,7,7.55,35.458067277627606,29.45647038453425,2,2,0.11808654056476253,2.18,0.30260106942732923,0,0.6208243434777185,79.01330196494114,6.1829590244070465,0.3693907011746158,5.0,11,0
17,9,10.89,29.013991475342863,13.914348312526226,1,3,0.06331734519754542,11.66,0.793179576546592,0,2.9253756569411014,95.82257222971671,9.003695948114053,0.3240903339866734,4.353749401368567,23,0
16,10,17.72,63.445873537646015,24.53221155822456,2,2,0.12187747485652028,2.18,0.7085210809273711,0,4.9079655162713145,80.2046125215732,2.806348110950406,1.2542550068654408,4.062328625038885,7,0
12,9,9.34,47.177679424359496,26.018568013233946,2,2,0.013284942392682061,4.96,0.6849446806560474,1,2.9461225778097266,91.42885658374274,3.9441615215978016,1.6019381754305742,5.0,19,0
21,15,14.63,24.31972522982094,21.948517767602276,3,3,0.050603049932004984,7.18,0.40982171718607313,1,2.2246809475596314,82.47260131438405,10.875860925103925,2.6248559846636192,3.8626850015298224,21,0
14,9,12.36,52.45824417252215,14.796569549696983,1,0,0.13310677243152333,7.18,0.8263464560495344,0,4.603685439706931,80.84233758943101,8.619980628008443,3.1586176108727186,4.501599335654168,6,0
2,1,0.87,49.57714711078545,43.83468492548499,0,0,0.1956687530811877,3.87,0.5663436439997458,0,1.8510683518042823,88.23949461167517,3.817325742265239,2.046216507055936,4.4390484364694,1,0
19,13,5.01,74.51357733513738,72.32607291912916,9,4,0.040493595857035936,8.19,0.5311142021819012,1,0.9255023943540184,80.81821874099404,12.144230951285202,3.424191573952172,4.154821165339479,18,1
14,10,14.77,57.34868522696872,55.531648901065694,5,2,0.0200232781804427,11.78,0.7573607793721315,0,2.211015061338885,74.12190181543471,7.648624247153991,3.224994212589079,4.535301431759219,2,0
16,7,12.92,60.96015462713372,27.906758718052888,3,1,0.141373163247949,1.75,0.6727454336534223,0,2.796417021087466,74.41493497362896,6.703640660464725,0.6143440804977622,4.3310120218970125,15,1
14,6,5.11,63.429403022866495,57.308634647215605,5,4,0.005,4.06,0.20083698416490742,0,0.17401632822337287,87.7903315468613,9.159590723749123,0.5370176039593779,4.043706879631131,11,1
14,12,6.97,49.78563485920256,42.62631907045541,4,1,0.008718417649016541,5.58,0.4243007280327913,0,2.4065436602013857,59.90598605511427,4.926572580204889,1.3333494210111976,3.8760620415898077,11,0
3,2,3.57,71.86911830072458,34.10450427938946,0,0,0.09595613255274582,8.8,0.8864133364576072,0,0.05,85.76173685410505,5.626005152140129,0.05,4.567151149567398,17,1
14,8,11.68,57.19574585152826,32.73130003575711,3,3,0.20514112673899443,6.13,0.6832943109290701,0,1.7191896646794123,67.62279428126456,6.637939345754464,2.122592130277791,4.077524298289263,15,1
20,13,16.72,42.01808341366396,30.601316964258196,4,5,0.02907281693314434,5.49,0.05,0,1.949406073888809,83.74923250339741,7.408692614870461,1.6630853679342308,4.182025324205421,14,0
8,3,2.18,72.781644490925,49.32345470021994,2,2,0.05781464459289603,0.5,0.9445804159620939,1,2.1484203287656767,95.38589165511627,7.107557657571946,4.447059618651609,4.06087860984342,10,1
15,12,17.53,47.79644255045596,38.07274181008127,4,4,0.08667822079494078,1.47,0.6826961583521294,0,0.05,73.15928228825058,6.869220462620474,3.65111677454303,4.071667954226785,16,0
1,1,1.09,38.74530556942691,18.97469845330622,0,0,0.05163697927790053,6.77,0.3283928827036854,0,2.3608073195243517,87.24007869891028,5.787054255678424,1.5529991924297484,4.330870796211838,15,0
9,7,6.73,31.294151763124766,17.90925359979226,1,1,0.005,3.94,0.46587745915941003,0,3.598274488662044,93.24197049811954,7.1350886561821305,3.4683818046879207,3.8926036544681386,13,0
11,7,5.6,66.63494907180002,41.7298875881967,3,3,0.1281174304104815,4.63,0.7578286667868079,0,4.452905886963002,76.24199734126675,6.98410675353528,1.7586528397363101,4.264342771416813,17,0
24,12,21.55,74.78267357177737,44.430326745032055,7,3,0.09117950205818215,5.75,0.05,0,4.524703876563285,75.52919608784373,6.4815896642878545,2.7084668966831034,4.619587123145481,2,1
6,2,6.2,42.05138257104949,28.111081825030748,1,1,0.10201192679881171,15.37,0.8471825935501593,0,2.2406121576146623,85.75041832166579,6.0229667825121345,0.05,4.633274675443159,0,0
7,5,6.9,15.852397405110825,10.095876299582628,0,0,0.07149776826516624,4.01,1.0453582736822715,0,6.165675658688323,94.49974754124487,5.565207828346897,1.1651451737273306,4.189383002588288,0,0
10,4,11.77,76.75085678256971,62.52123257587291,4,1,0.17079051457202868,11.55,1.0116993806841055,0,0.9838702088188922,100.0,3.8649186014811407,2.249560368880076,4.096834095507337,14,0
